,NO2(t-10),NO2(t-9),NO2(t-8),NO2(t-7),NO2(t-6),NO2(t-5),NO2(t-4),NO2(t-3),NO2(t-2),NO2(t-1),NO2(t)
67,9.500578e-06,9.138824e-06,7.220159e-06,8.820192e-06,4.934915e-06,6.757318e-06,7.306525e-06,1.4575002e-05,1.4265334e-05,9.20994e-06,6.2406943e-06
68,9.138824e-06,7.220159e-06,8.820192e-06,4.934915e-06,6.757318e-06,7.306525e-06,1.4575002e-05,1.4265334e-05,9.20994e-06,6.2406943e-06,1.1366456e-05
69,7.220159e-06,8.820192e-06,4.934915e-06,6.757318e-06,7.306525e-06,1.4575002e-05,1.4265334e-05,9.20994e-06,6.2406943e-06,1.1366456e-05,9.4861925e-06
70,8.820192e-06,4.934915e-06,6.757318e-06,7.306525e-06,1.4575002e-05,1.4265334e-05,9.20994e-06,6.2406943e-06,1.1366456e-05,9.4861925e-06,8.505058e-06
71,4.934915e-06,6.757318e-06,7.306525e-06,1.4575002e-05,1.4265334e-05,9.20994e-06,6.2406943e-06,1.1366456e-05,9.4861925e-06,8.505058e-06,8.241424e-06
72,6.757318e-06,7.306525e-06,1.4575002e-05,1.4265334e-05,9.20994e-06,6.2406943e-06,1.1366456e-05,9.4861925e-06,8.505058e-06,8.241424e-06,1.0586571e-05
73,7.306525e-06,1.4575002e-05,1.4265334e-05,9.20994e-06,6.2406943e-06,1.1366456e-05,9.4861925e-06,8.505058e-06,8.241424e-06,1.0586571e-05,8.388525e-06
74,1.4575002e-05,1.4265334e-05,9.20994e-06,6.2406943e-06,1.1366456e-05,9.4861925e-06,8.505058e-06,8.241424e-06,1.0586571e-05,8.388525e-06,1.2266106e-05
75,1.4265334e-05,9.20994e-06,6.2406943e-06,1.1366456e-05,9.4861925e-06,8.505058e-06,8.241424e-06,1.0586571e-05,8.388525e-06,1.2266106e-05,9.189834e-06
76,9.20994e-06,6.2406943e-06,1.1366456e-05,9.4861925e-06,8.505058e-06,8.241424e-06,1.0586571e-05,8.388525e-06,1.2266106e-05,9.189834e-06,8.507944e-06
77,6.2406943e-06,1.1366456e-05,9.4861925e-06,8.505058e-06,8.241424e-06,1.0586571e-05,8.388525e-06,1.2266106e-05,9.189834e-06,8.507944e-06,9.405469e-06
78,1.1366456e-05,9.4861925e-06,8.505058e-06,8.241424e-06,1.0586571e-05,8.388525e-06,1.2266106e-05,9.189834e-06,8.507944e-06,9.405469e-06,1.0640612e-05
79,9.4861925e-06,8.505058e-06,8.241424e-06,1.0586571e-05,8.388525e-06,1.2266106e-05,9.189834e-06,8.507944e-06,9.405469e-06,1.0640612e-05,1.0793294e-05
80,8.505058e-06,8.241424e-06,1.0586571e-05,8.388525e-06,1.2266106e-05,9.189834e-06,8.507944e-06,9.405469e-06,1.0640612e-05,1.0793294e-05,1.1440599e-05
81,8.241424e-06,1.0586571e-05,8.388525e-06,1.2266106e-05,9.189834e-06,8.507944e-06,9.405469e-06,1.0640612e-05,1.0793294e-05,1.1440599e-05,1.2087904e-05
82,1.0586571e-05,8.388525e-06,1.2266106e-05,9.189834e-06,8.507944e-06,9.405469e-06,1.0640612e-05,1.0793294e-05,1.1440599e-05,1.2087904e-05,1.0718814e-05
83,8.388525e-06,1.2266106e-05,9.189834e-06,8.507944e-06,9.405469e-06,1.0640612e-05,1.0793294e-05,1.1440599e-05,1.2087904e-05,1.0718814e-05,9.807195e-06
84,1.2266106e-05,9.189834e-06,8.507944e-06,9.405469e-06,1.0640612e-05,1.0793294e-05,1.1440599e-05,1.2087904e-05,1.0718814e-05,9.807195e-06,1.0475404e-05
